categoria,texto,texto_limpio
business,"Ask Jeeves has become the third leading online search firm this week to thank a revival in internet advertising for improving fortunes.Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week.During the same quarter, Yahoo earned $187m, again tipping a resurgence in online advertising.Neither Ask Jeeves nor Doubleclick thrilled investors with their profit news, however.Ask Jeeves, once among the best-known names on the web, is now a relatively modest player.",ask jeeves become third leading online search firm week thank revival internet advertising improving fortunesits profit quarter dwarfed announced rival google earlier weekduring quarter yahoo earned tipping resurgence online advertisingneither ask jeeves doubleclick thrilled investor profit news howeverask jeeves among bestknown name web relatively modest player
business,"Indonesia's government has confirmed it is considering raising fuel prices by as much as 30%.Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down.Since President Yudhoyono's government came to power in October, it has indicated its intention of raising domestic fuel prices by cutting subsidies.President Susilo Bambang Yudhoyono's government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor.Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests.But critics argue cutting subsidies will hurt the poorer families that his government says it wants to help.",indonesia government confirmed considering raising fuel price much indonesia pay subsidy importer order stabilise domestic fuel price higher oil price forced government spend holding price downsince president yudhoyonos government came power october indicated intention raising domestic fuel price cutting subsidiespresident susilo bambang yudhoyonos government said want curb fuel subsidy direct money aid programme poorindonesias previous government led president megawati sukarnoputri also attempted cut subsidy forced back face public protestsbut critic argue cutting subsidy hurt poorer family government say want help
business,"Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005.Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan.In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005.Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it.As a result, the Japanese car maker has sought a series of financial bailouts.",struggling japanese car maker mitsubishi motor struck deal supply french car maker peugeot sport utility vehicle suvmitsubishi motor forecast net loss bn yen current financial year march last month signed production agreement japanese rival nissan motor supply small car sale japanin january mitsubishi motor issued third profit warning nine month cut sale forecast year march falling sale left mitsubishi motor underused capacity production deal peugeot give chance utilise itas result japanese car maker sought series financial bailouts
business,"""Journalists are the lifeblood of any newspaper, and maintaining the quality of The Daily Telegraph and The Sunday Telegraph for our readers is vital,"" he said.The two Telegraph titles currently employ 521 journalists.Telegraph executive Murdoch MacLennan said the two newspapers would add eight colour pages in the coming months.The Daily and Sunday Telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff.The Telegraph Group says the cuts are needed to fund an Â£150m investment in new printing facilities.The National Union of Journalists said it stood strongly behind the journalists and did not rule out a strike.The Telegraph has announced no plans to go tabloid although both The Independent and The Times have seen circulation rise since shrinking in size.Many newspapers are investing in new printing machinery that enables them to print more colour pages, or in some cases, have colour on every page.NUJ official Barry Fitzpatrick said the company had ignored the 90-day consultation period required for companies planning more than 10 redundancies.",journalist lifeblood newspaper maintaining quality daily telegraph sunday telegraph reader vital saidthe two telegraph title currently employ journaliststelegraph executive murdoch maclennan said two newspaper would add eight colour page coming monthsthe daily sunday telegraph newspaper axing journalist job editorial staffthe telegraph group say cut needed fund investment new printing facilitiesthe national union journalist said stood strongly behind journalist rule strikethe telegraph announced plan go tabloid although independent time seen circulation rise since shrinking sizemany newspaper investing new printing machinery enables print colour page case colour every pagenuj official barry fitzpatrick said company ignored day consultation period required company planning redundancy
business,"In addition, if a flight is cancelled or delayed for more than two hours through the fault of the airline, all passengers must be paid compensation.However, airlines do not have to offer compensation if flights are cancelled or delayed due to ""extraordinary circumstances"".""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over Â£1bn a year loaded onto European passengers,"" Mr Clarke said.When this happens against a passenger's will, airlines will now have to offer compensation.All EU-based airlines and operators of flights which take off from the EU will have to adhere to the new compensation regime which came into force on Thursday.The EU decided to increase passenger compensation in a bid to deter airlines from deliberately overbooking flights.Andy Clarke, ERAA director of air transport, said that the EC advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather.Air passengers who are unable to board their flights because of overbooking, cancellations or flight delays can now demand greater compensation.However, only scheduled flight operators were obliged to offer compensation in cases of overbooking and they did not have to offer compensation for flight cancellations.Low-cost airlines have criticised the new compensation levels, arguing that the pay-out could be worth more than the ticket.The EC has launched an information campaign in airports and travel agencies to inform airline passengers of their new rights.New technology means it is easier for airlines to take off and land in bad weather, she added.",addition flight cancelled delayed two hour fault airline passenger must paid compensationhowever airline offer compensation flight cancelled delayed due extraordinary circumstanceswe reckon going cost european air passenger airline airline money paid passenger bn euro thats bn year loaded onto european passenger mr clarke saidwhen happens passenger airline offer compensationall eubased airline operator flight take eu adhere new compensation regime came force thursdaythe eu decided increase passenger compensation bid deter airline deliberately overbooking flightsandy clarke eraa director air transport said ec advice misleads customer lead believe airline could liable payouts flight delayed bad weatherair passenger unable board flight overbooking cancellation flight delay demand greater compensationhowever scheduled flight operator obliged offer compensation case overbooking offer compensation flight cancellationslowcost airline criticised new compensation level arguing payout could worth ticketthe ec launched information campaign airport travel agency inform airline passenger new rightsnew technology mean easier airline take land bad weather added
business,"The breakneck pace of economic expansion has kept growth above 9% for more than a year.Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.Growth in China remains at a breakneck 9.1%, and corporate investment is growing at more than 25% a year.The curbs were introduced earlier this year to ward off the risk that rapid expansion might lead to soaring prices.In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.",breakneck pace economic expansion kept growth yearrapid toolingup china manufacturing sector mean massive demand energy one factor kept world oil price skyhigh yeargrowth china remains breakneck corporate investment growing yearthe curb introduced earlier year ward risk rapid expansion might lead soaring pricesin theory government growth target continues insist overshoot mean hard landing shape overbalancing economy
business,"On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.The company has also sued former auditors and financial advisors for damages.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros.And criminal cases against the company's former management are proceeding separately.Overall, the company's debt is close to 12bn euros, and is falling only slowly.",tuesday company administrator turnaround expert enrico bondi sued morgan stanley former banker return euro relating bond dealthe company also sued former auditor financial advisor damagesthat brought number bank mr bondi sued mass legal action could bring much bn eurosand criminal case company former management proceeding separatelyoverall company debt close bn euro falling slowly
business,"India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'.S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'.The currency has gained almost 1% in the past three sessions.",india rupee hit fiveyear high standard poor sp raised country foreign currency ratingindias foreign currency rating one notch investment grade start bbbsp rate borrower creditworthiness lifted india rating one notch bbthe currency gained almost past three session
business,"""We need at least $20bn (Â£10.6bn) in investment and part of this has to come as foreign direct investment,"" said Mr Maran.Potential foreign investors will however need government approval before they increase their stake beyond 49%, Mr Maran said.Communications Minister Dayanidhi Maran said that there is a need to fund the fast-growing mobile market.India has raised the limit for foreign direct investment in telecoms companies from 49% to 74%.Investment bank Morgan Stanley has forecast that India's mobile market is likely to grow by about 40% a year until 2007.",need least bn bn investment part come foreign direct investment said mr maranpotential foreign investor however need government approval increase stake beyond mr maran saidcommunications minister dayanidhi maran said need fund fastgrowing mobile marketindia raised limit foreign direct investment telecom company investment bank morgan stanley forecast india mobile market likely grow year
business,"The drop in patience comes as the number of calls to call centres is growing at a rate of 20% every year.Poor training frustrates both call centre workers and customers.In what Dimension Data calls an ""alarming development"", the average induction time for a call centre worker fell last year from 36 to just 21 days, leaving ""agents not equipped to deal with customers"".And if you work in a call centre: did your training prepare you for your job?There are ""no big differences in wait time and call resolution"" between call centres based in Europe or North America and those in developing countries around the world.Customers trying to get through to call centres are getting impatient and quicker to hang up, a survey suggests.Suggestions that ""outsourcing"" - relocating call centres to low-cost countries like India or South Africa - is to blame are wrong, Ms Diemont says.The surge in customers trying to get through to call centres is also a reflection of the centres' growing range of tasks.What are your experiences with call centres?However, call centres also saw a sharp increase of customers simply abandoning calls, she says, from just over 5% in 2003 to a record 13.3% during last year.The survey was conducted by Sunovate on behalf of Dimension Data, and is based on in-depth questionnaires of 166 call centres in 24 countries and five continents.As a result, call centres have a high ""churn rate"", with nearly a quarter of workers throwing in the towel every year, which in turn forces companies to pay for training new staff.",drop patience come number call call centre growing rate every yearpoor training frustrates call centre worker customersin dimension data call alarming development average induction time call centre worker fell last year day leaving agent equipped deal customersand work call centre training prepare jobthere big difference wait time call resolution call centre based europe north america developing country around worldcustomers trying get call centre getting impatient quicker hang survey suggestssuggestions outsourcing relocating call centre lowcost country like india south africa blame wrong m diemont saysthe surge customer trying get call centre also reflection centre growing range taskswhat experience call centreshowever call centre also saw sharp increase customer simply abandoning call say record last yearthe survey conducted sunovate behalf dimension data based indepth questionnaire call centre country five continentsas result call centre high churn rate nearly quarter worker throwing towel every year turn force company pay training new staff
business,"Leisure group Rank could unveil plans to demerge its film services unit and sell its media business, reports claim.Rank now aims to concentrate on its gaming, bars and hotels business, including extending its Hard Rock brand to its casinos - trials of which have been a success.Since Mike Smith's appointment as chief executive in 1999, the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses, including the Odeon cinema chain and the Pinewood studios.The move left the group with three core divisions: gaming, Hard Rock and Deluxe Films, which provides technical services to Hollywood studios.Speculation of a possible shake-up has mounted since Rank announced a study into a possible demerger in September.Analysts predict the firm is likely to report a slight drop in annual pre-tax profits to Â£170m from Â£194m last year.",leisure group rank could unveil plan demerge film service unit sell medium business report claimrank aim concentrate gaming bar hotel business including extending hard rock brand casino trial successsince mike smith appointment chief executive group focused fewer business embarked major costcutting programme seen dispose number business including odeon cinema chain pinewood studiosthe move left group three core division gaming hard rock deluxe film provides technical service hollywood studiosspeculation possible shakeup mounted since rank announced study possible demerger septemberanalysts predict firm likely report slight drop annual pretax profit last year
business,"But officials said stagnant growth was still stifling the job market.With unemployment stuck above 4 million for years, the government of Chancellor Gerhard Schroeder has put job creation at the top of the agenda.The seasonally adjusted rise showed a smaller rise than expected, as government measures to encourage job creation began to take effect.""But growth of 0.1%... in the third quarter is still insufficient to deliver positive momentum to the labour market.""""Job creation measures probably prevented a stronger increase in the seasonally adjusted numbers.""""The deterioration of the labour market does not come as a surprise,"" said Isabelle Kronawitter at Hypovereinsbank.",official said stagnant growth still stifling job marketwith unemployment stuck million year government chancellor gerhard schroeder put job creation top agendathe seasonally adjusted rise showed smaller rise expected government measure encourage job creation began take effectbut growth third quarter still insufficient deliver positive momentum labour marketjob creation measure probably prevented stronger increase seasonally adjusted numbersthe deterioration labour market come surprise said isabelle kronawitter hypovereinsbank
business,"Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy.Also on Friday, France's industrial output for December was released, showing 0.7% growth.It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted.Service sector activity improved in January, hitting a seven-month high.But unemployment remains high at about 10%.",despite apparent shortfall annual economic growth good quarterly figure socalled flash estimate mark continuing trend improving indicator health french economyalso friday france industrial output december released showing growthit leaf gdp full year short french government predictedservice sector activity improved january hitting sevenmonth highbut unemployment remains high
business,"The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn.The gap between US exports and imports hit an all-time high of $671.7bn (Â£484bn) in 2004, latest figures show.However, on a monthly basis the US trade gap narrowed by 4.9% in December to Â£56.4bn.The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.For all of 2004, US exports rose 12.3% to $1.15 trillion, but imports rose even faster by 16.3% to a new record of $1.76 trillion.For example, they believe China's currency policy - which US manufacturers claim has undervalued the yuan by as much as 40% - has given China's rapidly expanding economy an unfair advantage against US competitors.",commerce department said trade deficit last year previous record imbalance bnthe gap u export import hit alltime high bn bn latest figure showhowever monthly basis u trade gap narrowed december bnthe u consumer appetite thing oil imported car even wine cheese reached record level last year figure likely spark fresh criticism president bush economic policiesfor u export rose trillion import rose even faster new record trillionfor example believe china currency policy u manufacturer claim undervalued yuan much given china rapidly expanding economy unfair advantage u competitor
business,"The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold.Yukos had argued that a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has local bank accounts and its chief finance officer Bruce Misamore lives in Houston.A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US.Texas Judge Letitia Clark said Yukos did not have enough of a US presence to establish US jurisdiction.Yukos claimed it sought help in the US because other forums - Russian courts and the European Court of Human Rights - were either unfriendly or offered less protection.Yukos said it would consider its options in light of the ruling.""The vast majority of the business and financial activities of Yukos continue to occur in Russia,"" Judge Clark said in her ruling.Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities.The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft.Russia had indicated it would in any case not abide by the rulings of the US courts.",court ruling blow effort get damage sale yugansk yukos claim illegally soldyukos argued u court entitled declare bankrupt yugansk unit sold since local bank account chief finance officer bruce misamore life houstona judge dismissed attempt russian oil giant yukos gain bankruptcy protection ustexas judge letitia clark said yukos enough u presence establish u jurisdictionyukos claimed sought help u forum russian court european court human right either unfriendly offered less protectionyukos said would consider option light rulingthe vast majority business financial activity yukos continue occur russia judge clark said rulingyukos filed chapter protection houston unsuccessful attempt halt auction yugansk division russian authoritiesthe u court jurisdiction challenged deutsche bank gazpromneft former unit russian gas monopoly gazprom due merge rosneftrussia indicated would case abide ruling u court
business,"The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said.The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open.The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators.News of the recall follows an announcement last month that GM expects earnings this year be lower than in 2004.In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs).",affected vehicle product recall model year gm saidthe nhtsa said pressure accumulator braking system could crack normal driving fragment could injure people hood openthe world biggest carmaker general motor gm recalling nearly vehicle u safety ground according federal regulatorsnews recall follows announcement last month gm expects earnings year lower addition car giant calling back buick ranier chevrolet trailblazer gmc envoy isuzu ascender model year windshield properly fitted could fall crashthe national highway traffic safety administration nhtsa said largest recall involves pickup van sport utility vehicle suv
business,"Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.Mittal Steel has operations in 14 countries.Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually.A Mittal Steel spokeman said that no decisions on job cuts have been made yet.Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat.However, Lakshmi Mittal has told investors the combined company will have to shed thousands of jobs.",mittal steel one world largest steel producer could cut job next five year chief executive saidmittal steel operation countriesmr mittal told u investor acquisition international steel group completed company would aim reduce workforce annuallya mittal steel spokeman said decision job cut made yetmittal steel formed last year mr mittals lnm holding merged dutch firm ispathowever lakshmi mittal told investor combined company shed thousand job
business,"Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m.The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply.The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day.",crude oil price surged back barrel mark thursday energy market watchdog raised forecast global demandthe u department energy reported crude stockpile fallen barrel mthe international energy agency iea warned demand opec crude first quarter would outstrip supplythe iea raised estimate oil demand growth barrel day million barrel day
business,"The Vestey Group said it had owned the land since 1920 and would co-operate fully with the authorities.Officials in Cojedes state said on Friday that farmland owned by a subsidiary of the Vestey Group would be taken and used to settle poor farmers.Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme.Last month, the government said it had identified more than 500 idle farms and had yet to consider the status of a further 40,000.The firm, whose Agroflora subsidiary operates 13 farms in Venezuela, insisted that it had complied fully with Venezuelan law.Under President Chavez, the Venezuelan government has steadily expanded the state's involvement in the country's economy.The authorities said landowners whose titles were in order and whose farms were productive had ""nothing to fear"".The Vestey Group said it had not been informed of any planned seizure.",vestey group said owned land since would cooperate fully authoritiesofficials cojedes state said friday farmland owned subsidiary vestey group would taken used settle poor farmersvenezuelan authority said seize land owned british company part president chavez agrarian reform programmelast month government said identified idle farm yet consider status firm whose agroflora subsidiary operates farm venezuela insisted complied fully venezuelan lawunder president chavez venezuelan government steadily expanded state involvement country economythe authority said landowner whose title order whose farm productive nothing fearthe vestey group said informed planned seizure
business,"US growth would reach 4.4% in 2004, but fall to 3.3% next year from a previous estimate of 3.7%, the OECD said.But the outlook was worst for the 12-member eurozone bloc, with already sluggish growth forecasts slipping to 1.8% from 2.0% this year and 1.9% from 2.4% in 2005, the OECD said.Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006.The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD.""The recovery that was underway, and has been interrupted a bit by the oil shock this year, would then regain momentum in the course of 2005.""If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report.A dip in oil prices and improving jobs prospects would improve consumer confidence and spending, the OECD said.",u growth would reach fall next year previous estimate oecd saidbut outlook worst member eurozone bloc already sluggish growth forecast slipping year oecd saidoverall report forecast total growth member country oecd slipping next year recovering soaring cost oil hit global economic growth although world major economy weather storm price rise according oecdthe recovery underway interrupted bit oil shock year would regain momentum course oil price rise think shock absorbed within next quarter vincent koen senior economist oecd told bbcs world business reporta dip oil price improving job prospect would improve consumer confidence spending oecd said
